date,volume_na,volume_sa,volume_eu,volume_af,volume_as,volume_au,volume_ww
2019-11-17,0.00,0.00,0.00,0.00,0.00,0.00,1069.51
2019-11-18,0.00,0.00,0.00,0.00,0.00,0.00,1916.24
2019-11-19,0.00,0.00,0.00,0.00,0.00,0.00,1061.13
2019-11-20,0.00,0.00,0.00,0.00,0.00,0.00,1115.35
2019-11-21,0.00,0.00,0.00,0.00,0.00,0.00,746.63
2019-11-22,0.00,0.00,0.00,0.00,0.00,0.00,1008.43
2019-11-23,0.00,0.00,0.00,0.00,0.00,0.00,644.56
2019-11-24,0.00,0.00,0.00,0.00,0.00,0.00,941.42
2019-11-25,0.00,0.00,0.00,0.00,0.00,0.00,911.63
2019-11-26,0.00,0.00,0.00,0.00,0.00,0.00,1188.25
2019-11-27,0.00,0.00,0.00,0.00,0.00,0.00,1113.18
2019-11-28,0.00,0.00,0.00,0.00,0.00,0.00,1274.31
2019-11-29,0.00,0.00,0.00,0.00,0.00,0.00,2698.87
2019-11-30,0.00,0.00,0.00,0.00,0.00,0.00,853.37
2019-12-01,0.00,0.00,0.00,0.00,0.00,0.00,1128.44
2019-12-02,0.00,0.00,0.00,0.00,0.00,0.00,573.66
2019-12-03,0.00,0.00,0.00,0.00,0.00,0.00,679.59
2019-12-04,0.00,0.00,0.00,0.00,0.00,0.00,501.67
2019-12-05,0.00,0.00,0.00,0.00,0.00,0.00,489.75
2019-12-06,0.00,0.00,0.00,0.00,0.00,0.00,634.59
2019-12-07,0.00,0.00,0.00,0.00,0.00,0.00,931.54
2019-12-08,0.00,0.00,0.00,0.00,0.00,0.00,1309.32
2019-12-09,0.00,0.00,0.00,0.00,0.00,0.00,2146.32
2019-12-10,0.00,0.00,0.00,0.00,0.00,0.00,774.35
2019-12-11,0.00,0.00,0.00,0.00,0.00,0.00,1070.41
2019-12-12,0.00,0.00,0.00,0.00,0.00,0.00,492.72
2019-12-13,0.00,0.00,0.00,0.00,0.00,0.00,1642.26
2019-12-14,0.00,0.00,0.00,0.00,0.00,0.00,1113.48
2019-12-15,0.00,0.00,0.00,0.00,0.00,0.00,2214.18
2019-12-16,0.00,0.00,0.00,0.00,0.00,0.00,1717.33
2019-12-17,0.00,0.00,0.00,0.00,0.00,0.00,1788.39
2019-12-18,0.00,0.00,0.00,0.00,0.00,0.00,2662.88
2019-12-19,0.00,0.00,0.00,0.00,0.00,0.00,2526.17
2019-12-20,0.00,0.00,0.00,0.00,0.00,0.00,634.55
2019-12-21,0.00,0.00,0.00,0.00,0.00,0.00,655.43
2019-12-22,0.00,0.00,0.00,0.00,0.00,0.00,759.36
2019-12-23,0.00,0.00,0.00,0.00,0.00,0.00,1096.38
2019-12-24,0.00,0.00,0.00,0.00,0.00,0.00,495.39
2019-12-25,0.00,0.00,0.00,0.00,0.00,0.00,596.50
2019-12-26,0.00,0.00,0.00,0.00,0.00,0.00,615.66
2019-12-27,0.00,0.00,0.00,0.00,0.00,0.00,2154.97
2019-12-28,0.00,0.00,0.00,0.00,0.00,0.00,823.57
2019-12-29,0.00,0.00,0.00,0.00,0.00,0.00,2163.24
2019-12-30,0.00,0.00,0.00,0.00,0.00,0.00,912.55
2019-12-31,0.00,0.00,0.00,0.00,0.00,0.00,778.48
2020-01-01,0.00,0.00,0.00,0.00,0.00,0.00,917.53
2020-01-02,0.00,0.00,0.00,0.00,0.00,0.00,526.68
2020-01-03,0.00,0.00,0.00,0.00,0.00,0.00,595.56
2020-01-04,0.00,0.00,0.00,0.00,0.00,0.00,822.55
2020-01-05,0.00,0.00,0.00,0.00,0.00,0.00,533.55
2020-01-06,0.00,0.00,0.00,0.00,0.00,0.00,1453.30
2020-01-07,0.00,0.00,0.00,0.00,0.00,0.00,909.48
2020-01-08,0.00,0.00,0.00,0.00,0.00,0.00,1095.31
2020-01-09,0.00,0.00,0.00,0.00,0.00,0.00,601.57
2020-01-10,0.00,0.00,0.00,0.00,0.00,0.00,386.79
2020-01-11,0.00,0.00,0.00,0.00,0.00,0.00,596.66
2020-01-12,0.00,0.00,0.00,0.00,0.00,0.00,728.50
2020-01-13,0.00,0.00,0.00,0.00,0.00,0.00,656.49
2020-01-14,0.00,0.00,0.00,0.00,0.00,0.00,564.44
2020-01-15,0.00,0.00,0.00,0.00,0.00,0.00,565.55
2020-01-16,0.00,0.00,0.00,0.00,0.00,0.00,807.48
2020-01-17,0.00,0.00,0.00,0.00,0.00,0.00,705.48
